plate_no,ref,title,assigned_day,reason,slug
1,V653 / NA - 1388,Camp at Summit Lake (No.1) 1906,Jul 8-16,"camp scene, could be any camp day",wmcr-vaux-1n-v653-na-1388
2,V653 / NA - 1389,Camp at Summit Lake (No.2) 1906,Jul 8-16,"camp scene, could be any camp day",wmcr-vaux-1n-v653-na-1389
3,V653 / NA - 1390,Camp at Summit Lake (No.3) 1906,Jul 8-16,"camp scene, could be any camp day",wmcr-vaux-1n-v653-na-1390
4,V653 / NA - 1391,"Head of Upper Yoho, panorama 1906 (No.4) : [pan 1 of 4]",?,,wmcr-vaux-1n-v653-na-1391
5,V653 / NA - 1392,"Head of Upper Yoho, panorama 1906 (No.5) : [pan 2 of 4]",?,,wmcr-vaux-1n-v653-na-1392
6,V653 / NA - 1393,"Head of Upper Yoho, panorama 1906 (No.6) : [pan 3 of 4]",?,,wmcr-vaux-1n-v653-na-1393
7,V653 / NA - 1394,"Head of Upper Yoho, panorama 1906 (No.7) : [pan 4 of 4]",?,,wmcr-vaux-1n-v653-na-1394
8,V653 / NA - 1395,Upper Yoho Valley with stream in foreground (No.8) 1906,?,,wmcr-vaux-1n-v653-na-1395
9,V653 / NA - 1396,Head of Yoho with stream (best) (No.9) 1906,?,,wmcr-vaux-1n-v653-na-1396
10,V653 / NA - 1397,Head of Upper Yoho from below camp (No.10) 1906,Jul 14-15,view from camp toward upper Yoho Valley,wmcr-vaux-1n-v653-na-1397
11,V653 / NA - 1398,Mt. Niles and Mt. Daly from Upper Yoho (No.11) 1906,?,,wmcr-vaux-1n-v653-na-1398
11,V653 / PS - 97,Mt. Niles and Mt. Daly from Upper Yoho (No.11),?,,wmcr-vaux-1v-v653-ps-097
12,V653 / NA - 1399,"The Vice-President, Upper Yoho (No.12) 1906",?,,wmcr-vaux-1n-v653-na-1399
13,V653 / NA - 1400,Head of Upper Yoho from camp (No.13) 1906,Jul 14-15,view from camp toward upper Yoho Valley,wmcr-vaux-1n-v653-na-1400
14,V653 / NA - 1401,"Test picture, Wapta Glacier (No.14) 1906",Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1401
15,V653 / NA - 1402,"Test picture, Wapta Glacier (No.15) 1906",Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1402
16,V653 / NA - 1403,"Ice arch, Wapta Glacier (No.16) 1906",Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1403
17,V653 / NA - 1404,"Ice arch, Wapta Glacier (No.17) 1906",Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1404
18,V653 / NA - 1405,"Ice arch, Wapta Glacier (No.18) 1906",Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1405
19,V653 / NA - 1406,"Wapta Glacier (end), wide angle (No.19) 1906",Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1406
20,V653 / NA - 1407,Wapta Glacier panorama 1906 (No.20) : [pan 1 of 3],Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1407
21,V653 / NA - 1408,Wapta Glacier panorama 1906 (No.21) : [pan 2 of 3],Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1408
22,V653 / NA - 1409,Wapta Glacier panorama 1906 (No.22) : [pan 3 of 3],Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1409
24,V653 / NA - 1410,Mt. Stephen from foot of Wapta Glacier (No.24) 1906,Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1410
25,V653 / NA - 1411,Mt. Stephen from foot of Wapta Glacier (best) (No.25) 1906,Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1411
26,V653 / NA - 1412,Forefoot of Wapta Glacier (No.26) 1906,Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1412
27,V653 / NA - 1413,Forefoot of Wapta Glacier (No.27) 1906,Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1413
28,V653 / NA - 1414,Yoho Glacier (No.28) 1906,Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1414
29,V653 / NA - 1415,Wapta Glacier (No.29) 1906,Jul 15,glacier survey — Wheeler confirms Vaux at Yoho Glacier this day,wmcr-vaux-1n-v653-na-1415
30,V653 / NA - 1416,Laughing Falls 1906  : (No.30),?,,wmcr-vaux-1n-v653-na-1416
31,V653 / NA - 1417,Laughing Falls 1906  : (No.31),?,,wmcr-vaux-1n-v653-na-1417
32,V653 / NA - 1418,Laughing Falls 1906  : (No.32),?,,wmcr-vaux-1n-v653-na-1418
34,V653 / NA - 1420,Laughing Falls 1906  : (No.34),?,,wmcr-vaux-1n-v653-na-1420
35,V653 / NA - 1421,Laughing Falls 1906  : (No.35),?,,wmcr-vaux-1n-v653-na-1421
36,V653 / NA - 1422,Laughing Falls 1906  : (No.36),?,,wmcr-vaux-1n-v653-na-1422
37,V653 / NA - 1423,Laughing Falls 1906  : (No.37),?,,wmcr-vaux-1n-v653-na-1423
38,V653 / NA - 1424,Laughing Falls 1906  : (No.38),?,,wmcr-vaux-1n-v653-na-1424
39,V653 / NA - 1425,Laughing Falls 1906  : (No.39),?,,wmcr-vaux-1n-v653-na-1425
40,V653 / NA - 1426,Takakkaw Fall 1906  : (No.40),Jul 17,trip #2 dated 7/17/06,wmcr-vaux-1n-v653-na-1426
41,V653 / NA - 1427,Takakkaw Fall 1906  : (No.41),Jul 17,trip #2 dated 7/17/06,wmcr-vaux-1n-v653-na-1427
42,V653 / NA - 1428,Takakkaw Fall 1906  : (No.42),Jul 17,trip #2 dated 7/17/06,wmcr-vaux-1n-v653-na-1428
43,V653 / NA - 1429,Takakkaw Fall 1906  : (No.43),Jul 17,trip #2 dated 7/17/06,wmcr-vaux-1n-v653-na-1429
44,V653 / NA - 1430,Takakkaw Fall 1906  : (No.44),Jul 17,trip #2 dated 7/17/06,wmcr-vaux-1n-v653-na-1430
45,V653 / NA - 1431,"Head of Valley above the caves, panorama 1906 (No.45) : [pan 1 of 4]",?,,wmcr-vaux-1n-v653-na-1431
46,V653 / NA - 1432,"Head of Valley above the caves, panorama 1906 (No.46) : [pan 2 of 4]",?,,wmcr-vaux-1n-v653-na-1432
47,V653 / NA - 1433,"Head of Valley above the caves, panorama 1906 (No.47) : [pan 3 of 4]",?,,wmcr-vaux-1n-v653-na-1433
48,V653 / NA - 1434,"Head of Valley above the caves, panorama 1906 (No.48) : [pan 4 of 4]",?,,wmcr-vaux-1n-v653-na-1434
52,V653 / NA - 1438,"Old Point Comfort looking toward Illecillewaet Glacier, panorama 1906 (No.52) : [pan 1 of 2]",Jul (trip #9?),"Selkirks, separate from Yoho camp",wmcr-vaux-1n-v653-na-1438
